AssetId,DisplayName,Description,ItemType,Value,Weight,MaxStackSize,Rarity,Tags,EffectDescription1,EffectDescription2,IconPath,MeshPath,Version
item_sword_iron,Iron Sword,"A basic iron sword, sturdy and reliable.",Weapon,100,5.0,1,Common,"weapon,melee,sword","Deals 15-20 physical damage","Durability: 150",/Game/Items/Icons/Iron_Sword,/Game/Items/Meshes/Iron_Sword,1
item_sword_steel,Steel Sword,"A well-crafted steel sword with superior edge retention.",Weapon,250,4.5,1,Uncommon,"weapon,melee,sword","Deals 20-25 physical damage","Durability: 200",/Game/Items/Icons/Steel_Sword,/Game/Items/Meshes/Steel_Sword,1
item_sword_silver,Silver Sword,"A gleaming silver sword, particularly effective against certain monsters.",Weapon,500,4.0,1,Rare,"weapon,melee,sword,magic","Deals 25-30 physical damage","Extra damage against undead",/Game/Items/Icons/Silver_Sword,/Game/Items/Meshes/Silver_Sword,2
item_sword_enchanted,Enchanted Blade,"A magical blade that hums with arcane energy.",Weapon,1200,3.5,1,Epic,"weapon,melee,sword,magic","Deals 30-35 physical damage plus 10 magic damage","Chance to stun enemies",/Game/Items/Icons/Enchanted_Blade,/Game/Items/Meshes/Enchanted_Blade,2
item_sword_dragon,Dragonslayer,"A legendary sword forged from dragon scales.",Weapon,5000,6.0,1,Legendary,"weapon,melee,sword,legendary","Deals 50-60 physical damage plus 20 fire damage","Ignores 20% of enemy armor",/Game/Items/Icons/Dragonslayer,/Game/Items/Meshes/Dragonslayer,3
item_axe_iron,Iron Axe,"A heavy iron axe, good for chopping.",Weapon,120,7.0,1,Common,"weapon,melee,axe","Deals 18-22 physical damage","Durability: 120",/Game/Items/Icons/Iron_Axe,/Game/Items/Meshes/Iron_Axe,1
item_axe_steel,Steel Axe,"A well-balanced steel axe with excellent cutting power.",Weapon,270,6.5,1,Uncommon,"weapon,melee,axe","Deals 22-28 physical damage","Durability: 180",/Game/Items/Icons/Steel_Axe,/Game/Items/Meshes/Steel_Axe,1
item_axe_battle,Battle Axe,"A massive two-handed axe designed for war.",Weapon,600,9.0,1,Rare,"weapon,melee,axe,two-handed","Deals 35-45 physical damage","Chance to stagger enemies",/Game/Items/Icons/Battle_Axe,/Game/Items/Meshes/Battle_Axe,2
item_axe_frost,Frost Axe,"An axe infused with ice magic, its edge gleams with frost.",Weapon,1500,7.5,1,Epic,"weapon,melee,axe,magic","Deals 32-38 physical damage plus 15 frost damage","Chance to slow enemies",/Game/Items/Icons/Frost_Axe,/Game/Items/Meshes/Frost_Axe,2
item_axe_thunder,Thunder Cleaver,"A legendary axe that crackles with lightning.",Weapon,5500,8.0,1,Legendary,"weapon,melee,axe,legendary","Deals 55-65 physical damage plus 25 lightning damage","Chain lightning effect on critical hits",/Game/Items/Icons/Thunder_Cleaver,/Game/Items/Meshes/Thunder_Cleaver,3
